"number","name","earnings","gold","silver","bronze","s-tier"
659,"Southwind","$18,301",0,0,0,0
660,"Puff","$18,301",0,0,1,0
661,"cody","$18,287",3,0,1,0
662,"LaMiaZeaLoT","$18,250",3,0,1,1
663,"Ventair","$18,242",5,1,3,0
664,"Winter","$18,142",5,4,4,0
665,"Envy","$18,131",4,1,0,0
666,"Apex","$18,114",1,2,2,0
667,"Freeze","$18,086",4,6,1,1
667,"Falco","$18,065",4,1,0,0
669,"Dan","$18,009",8,2,2,0
670,"Klaj","$18,005",0,4,4,0
671,"Zorozero","$18,000",1,3,0,0
672,"LEP","$17,968",2,1,4,0
673,"World6","$17,923",0,0,0,0
674,"Mystiq","$17,852",5,7,1,0
675,"Kumo","$17,800",1,2,1,0
676,"QaspieL","$17,762",3,4,1,0
677,"Patrik","$17,711",2,1,0,1
678,"Pandar","$17,635",5,1,1,0
679,"Labrov","$17,603",3,0,2,0
680,"Genthix","$17,582",3,0,2,0
681,"Twila","$17,566",4,0,0,0
682,"Xiaopeng","$17,566",5,0,0,0
683,"Changhong","$17,566",4,0,0,0
684,"Hooks","$17,520",4,3,1,0
685,"EGO","$17,391",2,1,0,0
686,"Joey","$17,305",1,0,0,0
687,"Tempt","$17,288",1,0,0,0
688,"Husha","$17,275",0,3,0,0
689,"3z","$17,247",1,1,3,0
690,"Kino","$17,204",0,2,1,0
691,"Magic","$17,160",1,0,1,0
691,"XUN","$17,120",1,0,1,0
691,"dshao","$17,100",1,0,2,1
694,"Broeki","$17,045",5,1,1,0
695,"takeshi","$17,004",1,6,2,1
696,"dexter","$17,000",0,1,1,0
697,"Phlaty","$16,805",0,4,1,0
698,"Jenkins","$16,800",3,2,0,0
698,"Bruce","$16,771",1,2,1,0
700,"Shushei","$16,690",3,0,1,1
701,"WarL0cK","$16,618",2,3,1,0
702,"Chrisberg","$16,595",8,0,3,0
703,"Shini","$16,561",4,3,0,0
704,"5fire","$16,530",9,3,2,0
705,"Ian","$16,515",0,1,1,0
706,"Crumbz","$16,510",0,2,1,0
707,"Absolut","$16,376",3,3,0,0
708,"UmTi","$16,366",0,1,0,0
709,"Lindarang","$16,305",0,0,1,0
710,"Alex","$16,269",0,1,2,0
711,"Ysera","$16,261",0,2,2,0
712,"Pridestalkr","$16,255",1,1,3,0
713,"Alu","$16,204",2,0,0,0
714,"Gamsu","$16,200",1,2,2,0
715,"Chap","$16,084",5,3,3,0
716,"DoubleAiM","$16,055",3,2,1,0
717,"Inori","$16,000",3,1,1,0
718,"Araneae","$15,990",1,0,1,0
719,"Summit","$15,977",1,1,1,0
720,"Coldenfeet","$15,931",0,5,0,0
721,"Milica","$15,930",6,2,2,0
722,"Thal","$15,841",1,2,0,0
723,"Leza","$15,831",1,3,1,0
724,"Visdom","$15,825",0,2,5,0
725,"Deftly","$15,813",0,3,0,0
726,"Lost","$15,792",0,3,5,0
727,"Kitty","$15,669",8,4,4,0
728,"Kinzu","$15,601",0,2,2,0
729,"Rabble","$15,589",0,1,3,0
730,"Guoguo","$15,573",0,1,0,0
731,"Hudie","$15,573",0,1,0,0
732,"Jaeger","$15,560",2,1,4,0
733,"Goku","$15,551",3,5,2,0
734,"Tolerant","$15,525",2,2,2,1
735,"FallenBandit","$15,520",3,3,0,0
736,"Le Roi Bisou","$15,509",4,0,2,0
737,"Qingtian","$15,489",2,0,0,0
738,"Xiaocaobao","$15,489",1,0,0,0
739,"Melon","$15,482",4,3,4,0
740,"Kaas","$15,389",7,1,2,0
741,"toucouille","$15,354",6,2,0,0
742,"wewillfailer","$15,334",1,1,1,1
743,"SozPurefect","$15,303",5,4,4,0
744,"Ellam","$15,295",4,1,0,0
745,"Wisdom","$15,278",2,0,1,1
746,"Jelly","$15,263",1,0,0,0
747,"seaz","$15,224",5,0,0,0
748,"M1kuya","$15,136",0,1,0,0
749,"Kektz","$15,115",5,6,2,0
750,"Kaze","$15,052",4,3,2,0
751,"Dardoch","$15,000",0,1,2,0
752,"deokdam","$14,935",1,2,1,0
753,"Lukezy","$14,929",2,5,1,0
754,"Jjun","$14,925",3,1,1,0
755,"Kaigu","$14,920",2,4,1,0
756,"SeongHwan","$14,901",0,0,1,0
757,"Nappon","$14,694",2,1,1,1
758,"Mellisan","$14,690",3,0,1,1
759,"Zin","$14,673",1,0,2,0
760,"Ben4","$14,631",0,1,0,0
761,"Luci","$14,619",2,3,1,0
762,"Snow","$14,615",1,0,0,0
763,"zs","$14,615",1,0,0,0
764,"Captain","$14,615",1,0,0,0
765,"Tuesday","$14,590",2,3,1,0
766,"Tgee","$14,520",2,4,1,0
767,"MaHa","$14,519",0,1,0,0
768,"Japone","$14,491",1,1,0,0
769,"Hadess","$14,487",9,4,0,0
770,"Ares","$14,468",2,0,0,0
771,"Garvey","$14,369",0,1,0,0
772,"Xioh","$14,342",1,5,3,0
773,"Bolulu","$14,304",4,2,0,0
774,"Dread","$14,233",1,0,1,0
775,"Sharkk","$14,209",4,2,2,0
776,"Venzer","$14,167",3,4,0,0
777,"Viod","$14,152",1,0,0,0
778,"Alive","$14,151",2,2,0,0
779,"Enjawve","$14,151",2,2,3,0
780,"yT","$14,138",0,3,0,0
781,"Ryan","$14,137",1,2,1,0
782,"Phantiks","$14,106",3,2,1,0
783,"Jojo","$14,104",2,3,0,0
784,"AKi","$14,011",0,0,2,0
785,"Big","$14,000",4,0,0,0
786,"XiaoWeiXiao","$14,000",0,0,1,0
787,"rhuckz","$13,982",3,5,0,1
788,"Totoro","$13,951",1,0,0,0
789,"Aun","$13,897",0,5,1,0
789,"Jett","$13,801",2,0,0,0
791,"Razork","$13,702",1,6,0,0
792,"Jinoo","$13,685",0,1,1,0
793,"Gari","$13,670",5,2,1,0
794,"Secret","$13,662",0,1,2,0
795,"Shrimp","$13,616",1,3,0,0
796,"Lucker","$13,582",4,1,1,0
797,"Hybrid","$13,580",1,1,2,1
798,"Prosfair","$13,570",12,3,4,0
799,"H0R0","$13,392",1,1,0,0
800,"Doss","$13,320",2,6,2,0
801,"Patoy","$13,300",0,1,0,0
802,"Mojito","$13,296",4,0,1,2
803,"Rich","$13,290",0,2,1,0
804,"Celebrity","$13,271",2,1,3,0
805,"Shiro","$13,217",3,3,0,0
806,"Renyu","$13,216",2,1,5,0
807,"HiRit","$13,204",3,0,0,0
808,"Chasy","$13,199",3,0,1,0
809,"Shikari","$13,197",13,3,1,0
810,"mancloud","$13,050",0,0,2,0
811,"Zuna","$13,050",0,0,2,0
812,"Ronaldo","$13,006",8,3,2,0
813,"Rock","$12,995",0,1,2,0
814,"Violet","$12,893",0,0,1,0
815,"Hatrixx","$12,890",2,2,1,0
816,"Spooky","$12,888",5,0,0,0
817,"REFRA1N","$12,886",1,1,1,0
818,"Kabbie","$12,869",1,0,0,0
819,"Fury","$12,862",0,0,1,0
820,"Shady","$12,860",3,4,4,1
821,"BloodWater","$12,800",0,0,2,0
822,"Aladoric","$12,788",1,2,0,0
823,"Violet","$12,788",1,1,0,0
824,"Wysek","$12,759",0,3,1,0
825,"Meteor","$12,754",0,1,1,0
826,"OnFleek","$12,713",0,2,1,0
827,"Lava","$12,695",0,0,0,0
828,"Mightybear","$12,650",0,2,0,0
829,"Yoshino","$12,629",3,0,0,0
830,"Narkuss","$12,625",3,2,2,0
831,"Nji","$12,524",9,3,0,0
832,"esA","$12,504",3,7,2,1
833,"Reapered","$12,489",2,0,0,0
834,"Vasked","$12,485",4,3,0,0
835,"Wos","$12,471",4,4,0,0
836,"Frappii","$12,469",2,4,0,0
837,"Flaresz","$12,458",2,0,2,0
838,"DuDu","$12,447",0,0,1,0
839,"Mitsuki","$12,442",2,0,0,0
840,"Quas","$12,430",0,1,4,0
841,"LIMIT","$12,428",1,0,0,0
842,"Klowny","$12,428",3,2,2,0
843,"Memento","$12,399",0,2,1,0
844,"Yuekai","$12,394",0,1,0,0
845,"Maoan","$12,388",0,1,0,0
846,"Darlik","$12,372",7,1,1,0
847,"Julien","$12,290",3,2,2,0
848,"Anthrax","$12,281",6,3,0,0
849,"OzoraVeki","$12,257",3,3,0,0
850,"Avenger","$12,212",3,0,2,0
851,"Vzz","$12,191",4,0,0,0
852,"Aix","$12,190",2,1,0,0
853,"Treatz","$12,184",1,4,3,0
854,"viviD","$12,181",3,5,1,1
855,"Value","$12,180",5,0,3,0
856,"Kati","$12,128",3,3,0,0
857,"Selfie","$12,122",1,1,0,0
858,"Ruin","$12,090",2,0,3,0
859,"Hoon","$12,076",1,0,0,0
860,"Scarlet","$12,046",2,3,0,0
860,"Guigo","$12,006",3,0,1,0
862,"NIXWATER","$12,000",0,0,0,0
863,"Diamond","$12,000",2,1,1,0
864,"Cotopaco","$11,975",2,2,2,0
865,"Josedeodo","$11,965",1,0,1,0
866,"Erdote","$11,941",3,1,1,0
867,"Hoit","$11,902",1,0,1,0
868,"TraYtoN","$11,851",2,3,1,0
869,"Artifact","$11,841",0,1,2,0
870,"DoeDoii","$11,805",4,2,0,0
871,"Akaadian","$11,800",0,2,0,0
872,"Atom","$11,752",1,6,2,0
873,"Matsukaze","$11,749",2,5,0,0
874,"Dove","$11,739",0,2,2,0
875,"yoHan","$11,737",1,0,2,0
876,"Vardags","$11,704",0,4,2,0
877,"DNK","$11,701",0,1,2,0
878,"Kubu","$11,698",0,1,2,0
879,"Decoy","$11,696",2,2,3,1
880,"YutoriMoyasi","$11,685",4,3,4,1
881,"Aegis","$11,674",3,0,0,0
882,"Hamez","$11,605",4,5,1,0
883,"Zzus","$11,596",2,0,2,1
884,"Ren","$11,571",1,2,0,0
885,"Kerberos","$11,560",8,4,5,0
886,"Skash","$11,557",1,0,0,0
887,"Haise","$11,536",0,1,0,0
888,"Aloned","$11,482",1,1,0,0
889,"Masterwork","$11,439",5,2,1,0
890,"FrostForest","$11,418",2,1,1,0
891,"Sinmivak","$11,418",3,0,3,0
892,"Arce","$11,412",3,0,2,0
893,"Relic","$11,412",2,2,2,0
894,"Brosak","$11,364",1,3,3,0
895,"Karim kt","$11,325",1,3,1,0
896,"SoaR","$11,312",0,3,2,0
897,"Raes","$11,302",4,4,3,1
898,"JayJ","$11,300",2,0,0,0
899,"Grell","$11,282",0,5,1,0
900,"Argonavt","$11,272",3,0,0,0
901,"CBL","$11,265",1,0,4,0
902,"Quixeth","$11,255",5,5,0,0
903,"Yoppa","$11,238",2,2,2,0
904,"Meight","$11,225",4,4,1,0
905,"Pulsas","$11,191",2,1,1,0
906,"Bono","$11,179",0,1,0,0
907,"Dumbledoge","$11,050",4,2,0,1
908,"Obvious","$11,032",4,1,1,0
909,"Four","$11,031",2,4,1,0
910,"Altec","$11,000",0,1,1,0
911,"Markoon","$10,962",2,2,0,0
912,"YoDa","$10,926",1,0,2,0
913,"Bie","$10,873",1,2,2,0
914,"Isles","$10,850",2,3,0,0
915,"Jezu","$10,811",1,0,2,0
916,"Fragas","$10,800",1,0,0,0
917,"Melonik","$10,763",1,0,1,0
918,"Arthur","$10,763",0,1,1,0
919,"Dragonminkim","$10,740",3,0,0,0
920,"Lonely","$10,708",1,0,2,0
921,"Zergsting","$10,696",2,0,0,1
922,"Bananitoo","$10,682",6,0,3,0
923,"Secr3t","$10,666",0,1,0,0
924,"Envyy","$10,642",2,0,1,0
925,"Special","$10,610",5,7,1,0
926,"Luger","$10,563",2,2,3,0
927,"Emp","$10,526",3,4,2,0
928,"Copy","$10,520",2,5,0,0
929,"Yampi","$10,504",3,3,2,0
930,"StarLast","$10,489",1,0,0,0
931,"Yaharong","$10,486",0,1,0,0
932,"HeaQ","$10,421",0,1,1,0
933,"Minit","$10,414",0,3,0,0
934,"Doxa","$10,363",2,1,0,0
935,"Apollo","$10,340",1,1,2,0
936,"SLT","$10,331",1,2,3,0
937,"Furuy","$10,283",4,4,5,0
938,"Shoryu","$10,200",2,4,0,0
939,"Scarface","$10,183",1,3,1,0
940,"Cat","$10,181",0,1,0,0
941,"Lies","$10,181",0,1,0,0
942,"Alois","$10,181",7,2,0,0
943,"Papa Chau","$10,150",0,2,1,0
944,"MnM","$10,140",0,0,0,0
945,"Dom1nant","$10,131",4,5,0,0
946,"niQ","$10,102",1,2,1,0
947,"Kruimel","$10,094",3,6,2,0
948,"Jiekou","$10,078",1,0,1,1
949,"BunnyFuFuu","$10,000",0,2,0,0
950,"Hammock","$10,000",0,1,0,0
951,"GreenTea","$10,000",0,0,0,0
952,"Pyrka","$9,960",2,0,4,0
953,"Breaker","$9,876",0,1,2,0
954,"GodKwai","$9,872",1,1,0,0
955,"Dreamer Ace","$9,871",0,3,0,0
956,"Nova","$9,858",1,0,1,0
957,"Cepted","$9,805",1,1,1,0
958,"mumus100","$9,767",1,5,3,0
959,"Nikola","$9,756",4,2,1,0
960,"Advienne","$9,752",1,1,0,0
961,"Bravado","$9,750",4,1,2,0
962,"Rakyz","$9,732",0,5,0,0
963,"Taikki","$9,693",0,3,3,0
964,"KingJ","$9,676",0,1,2,0
965,"Pooh","$9,667",0,1,0,0
966,"MANTARRAYA","$9,613",2,0,0,0
967,"MikeYeung","$9,600",3,2,0,1
968,"Kadir","$9,588",0,3,1,0
969,"behave","$9,519",3,4,1,0
970,"Bruness","$9,502",2,1,2,0
971,"Sorn","$9,499",0,1,3,0
972,"Dreampull","$9,444",1,3,0,0
973,"Jwaow","$9,429",1,1,4,0
974,"Khael","$9,375",2,0,1,0
975,"Raven","$9,370",1,0,0,0
976,"Blazes","$9,369",1,1,3,0
977,"SuNo","$9,360",1,0,1,0
978,"Czajek","$9,324",2,0,3,0
979,"Griffin","$9,313",0,2,2,0
980,"Godbro","$9,258",4,3,1,1
981,"Mash","$9,250",1,2,0,0
982,"xani","$9,242",1,2,1,0
983,"Hieu3","$9,237",0,1,0,0
984,"Wakz","$9,207",3,4,2,0
985,"wuji","$9,195",1,2,2,0
986,"Lourlo","$9,100",1,0,0,0
987,"Touch","$9,093",6,0,2,0
988,"Akabane","$9,058",1,0,1,0
989,"DudsTheBoy","$9,057",3,0,3,0
990,"Ceos","$9,057",3,0,3,0
991,"Asper","$9,026",2,0,1,0
992,"Prismal","$9,000",3,2,1,0
993,"OddOrange","$8,980",1,3,2,0
994,"Cariok","$8,956",2,2,1,0
995,"Kindless","$8,870",2,3,2,0
996,"Nightmares","$8,856",3,8,2,0
997,"Von","$8,853",2,2,1,0
998,"Plasma","$8,807",4,0,1,0
999,"Divkid","$8,795",0,1,3,0
1000,"Dara","$8,781",6,4,0,1
1001,"Ggamza","$8,778",4,1,0,0
1002,"Tussle","$8,777",4,5,2,1
1003,"Delitto","$8,769",3,2,0,0
1004,"NoFe","$8,765",0,0,0,0
1005,"ppgod","$8,736",0,0,1,0
1006,"Grevthar","$8,726",1,0,0,0
1007,"CozQ","$8,724",1,2,0,0
1008,"Ohq","$8,721",0,0,0,0
1009,"Jester","$8,717",1,2,3,0
1010,"Ophelia","$8,702",1,1,1,0
1011,"beansu","$8,701",2,4,2,0
1012,"HolyPhoenix","$8,698",6,1,0,0
1013,"Stefan","$8,683",2,2,0,0
1014,"Paris","$8,628",3,1,2,0
1015,"Kroghsen","$8,612",11,2,4,0
1016,"Shiganari","$8,590",0,3,0,0
1017,"Pancake","$8,559",1,1,1,0
1018,"Parang","$8,555",1,1,1,0
1019,"Kamilius","$8,546",3,1,1,0
1020,"Sharp","$8,517",4,0,3,0
1021,"Pabu","$8,500",1,3,0,0
1022,"Chazz","$8,500",1,1,0,0
1023,"Praedyth","$8,500",1,1,0,0
1024,"Drobovik123","$8,469",0,2,1,0
1025,"Crush","$8,463",1,1,0,0
1026,"Chapapi","$8,452",8,2,0,0
1027,"Dice","$8,435",1,0,1,0
1028,"WeiZor","$8,407",2,1,1,0
1029,"XinMo","$8,406",1,0,0,0
1030,"QQmore","$8,368",1,4,2,0
1031,"Bloody","$8,358",4,2,2,0
1032,"Route","$8,355",0,0,1,0
1033,"Makler","$8,350",1,0,1,0
1034,"Wolfe","$8,330",1,1,3,0
1035,"Rainbow","$8,283",1,0,1,0
1036,"Fox","$8,250",1,2,0,0
1037,"Mills","$8,216",2,1,0,0
1038,"Nerroh","$8,180",2,7,0,0
1039,"Xzz","$8,167",0,1,1,0
1040,"TasteLess","$8,152",3,4,0,0
1041,"EvanRL","$8,050",1,2,3,0
1042,"Stunt","$8,000",1,0,1,0
1043,"Blossom","$7,996",1,0,0,0
1044,"k0u","$7,995",3,3,1,0
1045,"Zvene","$7,991",3,1,1,0
1046,"Spirax","$7,980",2,2,2,0
1047,"Katare","$7,974",3,2,0,0
1047,"Mireu","$7,957",1,0,0,0
1049,"Raise","$7,902",1,0,1,0
1050,"EdinPriqtel","$7,892",2,0,1,0
1051,"MightyDragon","$7,876",1,2,0,0
1052,"RoseThorn","$7,800",2,1,2,0
1053,"Plox","$7,788",1,4,2,0
1054,"Ashanome","$7,776",3,5,1,0
1055,"Yado","$7,769",1,0,0,0
1056,"Unho1y","$7,761",1,2,0,0
1057,"Madness","$7,734",2,0,1,2
1058,"Elwind","$7,734",2,0,2,2
1059,"Sedrion","$7,695",0,2,2,0
1060,"Creaton","$7,680",1,0,0,0
1061,"Brayaron","$7,643",4,0,0,0
1062,"Artemis","$7,635",1,1,1,0
1063,"Pake","$7,630",0,1,2,0
1064,"Dajor","$7,596",0,2,0,0
1065,"TheRainMan","$7,540",1,1,2,0
1066,"Hasmed","$7,539",0,1,1,0
1067,"LukasNegro","$7,475",1,5,0,0
1068,"Juhan","$7,406",0,1,2,0
1069,"Fitz","$7,384",0,1,1,0
1070,"Vince","$7,368",5,2,0,0
1071,"Dhokla","$7,275",3,2,2,0
1072,"Limitationss","$7,173",2,2,2,0
1073,"Dimonko","$7,162",0,1,1,0
1074,"Tiger","$7,151",4,1,1,0
1075,"Aku","$7,146",3,7,3,0
1076,"Berserker","$7,128",3,1,0,0
1077,"CaD","$7,094",0,1,0,0
1078,"Yunbee","$7,080",2,1,1,0
1079,"QUICKTIMER","$7,056",2,2,0,0
1080,"Dreedy","$7,036",2,3,1,0
1081,"Matt","$7,000",0,1,0,0
1082,"Clozer","$6,987",0,0,0,0
1083,"Catch","$6,938",2,1,0,0
1084,"kubYD","$6,918",3,0,1,0
1085,"Baula","$6,916",1,5,0,0
1086,"IlllIma","$6,895",4,1,0,0
1087,"Mocha","$6,893",1,0,0,1
1088,"Zhergoth","$6,883",3,4,0,0
1089,"Turtle","$6,877",1,1,1,0
1090,"Chieftain","$6,874",0,1,0,0
1090,"MoMa","$6,860",0,1,0,0
1090,"DuaLL","$6,858",1,1,0,0
1093,"Swip3rR","$6,852",3,7,1,1
1094,"Archie2B","$6,842",0,1,1,0
1095,"Woody","$6,814",0,0,2,0
1096,"Exakick","$6,812",0,1,1,0
1097,"Erry","$6,800",1,1,1,0
1098,"fNb","$6,798",2,3,0,0
1099,"Krastymel","$6,797",2,2,2,0
1100,"Raqo","$6,762",5,5,2,0
1100,"Shinsekai","$6,759",1,0,0,0
1100,"Goose","$6,738",5,6,1,0
1103,"Albetrayber","$6,714",6,5,3,0
1104,"Leo","$6,713",0,1,0,0
1105,"Brandini","$6,700",3,2,0,0
1106,"MC","$6,692",2,0,0,0
1107,"Khantos","$6,653",0,2,0,0
1108,"Color","$6,645",2,0,0,0
1109,"Damage","$6,632",1,3,1,0
1110,"MadBlade","$6,585",5,3,1,0
1111,"Wizer","$6,557",0,0,1,0
1112,"Winston","$6,528",4,3,2,0
1113,"Jree","$6,500",1,0,2,0
1114,"XoNix","$6,499",0,0,1,0
1115,"Rueven","$6,497",1,0,1,0
1116,"Cookie","$6,486",1,3,0,0
1117,"Mia","$6,477",0,1,0,0
1118,"HyBriD","$6,472",0,0,1,0
1119,"UDYSOF","$6,450",1,0,0,0
1120,"Cboi","$6,437",4,4,1,0
1121,"Professor","$6,358",0,2,2,0
1122,"Wardain","$6,325",0,2,1,0
1123,"Roison","$6,322",0,5,3,0
1124,"Sks","$6,321",0,0,0,0
1125,"Raven","$6,304",0,1,0,0
1126,"Ayel","$6,276",2,2,0,0
1127,"Fanatiik","$6,232",2,3,2,0
1128,"Kenvi","$6,220",2,1,3,0
1129,"Tenacity","$6,220",2,1,3,0
1130,"Enso","$6,218",0,0,1,0
1131,"Frozen","$6,210",6,1,0,0
1132,"Palafox","$6,200",3,1,0,0
1133,"SOUPerior","$6,200",1,1,0,0
1134,"Care","$6,196",0,1,0,0
1135,"Niles","$6,180",1,1,4,0
1136,"Angush","$6,180",0,0,1,0
1137,"Ippon","$6,124",0,2,2,0
1138,"Rogue","$6,114",2,0,2,0
1139,"Shiphtur","$6,100",0,2,0,0
1140,"Crystal","$6,088",2,2,1,0
1141,"Bruno","$6,082",1,0,0,0
1142,"Jauny","$6,080",4,1,1,0
1143,"twohoyrz","$6,054",1,0,1,0
1144,"Aoi Haru","$6,051",1,0,0,0
1145,"BocaJR","$6,045",2,0,1,0
1146,"Haeri","$6,000",2,3,0,0
1147,"OmarGod","$6,000",0,1,1,0
1148,"Chad","$6,000",1,0,2,0
1149,"Keane","$6,000",1,0,0,0
1150,"Kz","$6,000",2,1,0,0
1151,"Motive","$5,974",0,0,2,0
1152,"Wink","$5,973",0,0,0,0
1153,"Nolan","$5,949",4,1,0,0
1154,"Joker","$5,945",0,1,2,0
1155,"Rod","$5,932",1,4,0,0
1156,"Nxi","$5,920",3,3,0,0
1157,"Seize","$5,918",0,1,0,0
1158,"Gango","$5,913",0,1,2,0
1159,"Seelame","$5,889",3,3,2,0
1160,"Navio","$5,888",0,1,1,0
1161,"Xaky","$5,887",5,3,1,0
1162,"Martin","$5,883",0,0,0,0
1163,"Style","$5,867",1,1,0,0
1164,"Ritix","$5,864",1,1,0,0
1165,"M1anhua","$5,862",0,3,0,0
1166,"fearness","$5,862",0,1,0,0
1167,"Wings","$5,862",0,1,0,0
1167,"Soligo","$5,860",3,0,0,0
1169,"LeX","$5,832",0,1,1,0
1170,"Weiwei","$5,805",0,0,0,0
1171,"SamD","$5,805",0,0,0,0
1172,"Biubiu","$5,805",0,0,0,0
1173,"xKenzuke","$5,795",1,0,0,0
1174,"SOLKA","$5,793",0,0,1,0
1175,"Zoiren","$5,786",4,2,0,0
1176,"Saviour","$5,731",5,4,0,0
1177,"Astarore","$5,725",3,1,0,0
1178,"Keine","$5,689",0,1,0,0
1179,"Teacherma","$5,664",0,0,0,0
1180,"hyrqBot","$5,650",1,0,1,0
1181,"EnvyCarry","$5,608",1,0,0,0
1182,"Fenfen","$5,604",0,0,0,0
1183,"Maestro","$5,604",0,0,0,0
1184,"Husky","$5,600",0,2,0,0
1185,"Nille","$5,595",1,1,2,0
1186,"Ruby","$5,593",0,2,0,0
1187,"Claire","$5,588",1,3,8,1
1188,"SkyBart","$5,558",0,5,2,0
1189,"Noltey","$5,554",0,4,7,0
1190,"Pride","$5,544",0,2,0,0
1191,"Petland","$5,535",1,2,0,0
1191,"Freire","$5,523",2,0,1,0
1191,"Saulius","$5,510",1,4,1,0
1194,"aesthetic","$5,507",1,1,2,0
1195,"Inition","$5,475",1,2,0,0
1196,"Krakmo","$5,467",1,4,1,0
1197,"MrRalleZ","$5,464",0,0,2,0
1198,"MarioMe","$5,461",2,0,1,0
1198,"Dark Solece","$5,447",0,2,0,0
1200,"Bay","$5,410",0,1,1,0
1201,"Odi11","$5,401",1,0,1,0
1202,"007x","$5,400",1,0,0,0
1203,"Griffon","$5,388",0,2,0,0
1204,"Disave","$5,340",1,0,1,0
1205,"Prime","$5,322",4,2,0,0
1206,"Erixen","$5,320",4,0,1,0
1207,"Kerp","$5,301",1,0,1,0
1208,"Croco","$5,296",0,0,1,0
1209,"Ruvelius","$5,296",2,0,1,1
1210,"Baca","$5,277",1,1,0,0
1211,"Xico","$5,266",2,2,1,0
1212,"Ryuzaki","$5,260",1,3,2,0
1213,"Own3r","$5,236",3,4,0,0
1214,"Miniduke","$5,229",2,1,1,0
1215,"Universe","$5,227",1,3,0,0
1216,"Decay","$5,206",1,2,2,0
1217,"Adept","$5,206",1,0,1,0
1218,"Priskornet","$5,197",2,2,1,0
1219,"FATE","$5,183",0,0,2,0
1220,"Anyyy","$5,178",1,0,1,0
1221,"NoXiAK","$5,156",0,0,2,0
1222,"komedyja","$5,144",2,1,0,0
1223,"ActScene","$5,142",0,0,0,0
1224,"Zuao","$5,134",1,0,4,0
1225,"Hauz","$5,128",3,0,0,0
1226,"Rafitta","$5,125",1,1,0,0
1227,"Wiz","$5,124",1,0,0,0
1228,"Nestea","$5,113",0,0,1,0
1229,"Mersa","$5,112",2,0,0,0
1230,"Luskka","$5,095",1,1,0,0
1231,"InTreso","$5,068",2,2,0,0
1232,"Baiano","$5,059",0,1,1,0
1233,"Fun K3y","$5,055",0,2,1,0
1234,"Atlanta","$5,020",2,0,0,0
1235,"Apii","$5,000",1,1,0,0
1236,"Nbs","$5,000",1,0,0,0
1237,"Halo","$5,000",2,2,0,0
1238,"TopLop","$5,000",2,1,1,0
1239,"Keshi","$4,994",0,1,0,0
1240,"xCharm","$4,989",0,2,0,0
1241,"FireRain","$4,980",0,0,1,0
1242,"Aoshi","$4,947",0,1,2,0
1243,"Victory","$4,932",0,0,0,0
1244,"Quinncidence","$4,925",2,1,0,0
1245,"Nemky","$4,921",0,2,0,0
1246,"Munckizz","$4,914",4,4,4,0
1247,"Marrow Ooze","$4,903",7,2,1,0
1248,"JaVaaa","$4,879",1,1,0,0
1249,"Unknown","$4,879",2,3,2,0
1250,"Archeny","$4,831",1,1,2,0
1251,"Tyr","$4,829",4,0,1,0
1252,"Zeus","$4,811",1,1,0,0
1253,"Defles","$4,806",0,2,1,0
1254,"Xuradel","$4,800",5,1,0,0
1255,"Rodov","$4,800",3,2,1,0
1256,"JimieN","$4,800",0,0,1,0
1257,"Slyv3r","$4,796",3,4,2,0
1258,"LL","$4,795",0,1,0,0
1259,"Froststrike","$4,795",1,5,0,0
1260,"Emtest","$4,774",0,2,0,0
1261,"Tutsz","$4,761",1,0,0,0
1262,"ImSoFresh","$4,758",0,1,0,0
1263,"Mimic","$4,757",2,0,1,0
1264,"Reje","$4,743",3,3,0,0
1265,"S0NSTAR","$4,740",0,0,0,0
1266,"Haydal","$4,707",2,5,0,0
1267,"Eren","$4,704",1,4,0,0
1268,"Poulsen","$4,677",1,1,0,0
1269,"Rifty","$4,667",2,4,2,0
1270,"Kabe","$4,664",0,1,0,0
1271,"Afm","$4,651",2,2,1,0
1272,"Phantomles","$4,647",3,1,0,0
1273,"Akunma","$4,640",1,4,0,0
1274,"yijie","$4,618",0,1,1,0
1275,"ACD","$4,616",2,1,1,0
1276,"Cl0x","$4,608",0,4,2,0
1277,"Efias","$4,598",2,2,0,0
1278,"Sephis","$4,597",2,0,0,0
1279,"Array","$4,590",4,1,2,0
1280,"Reven","$4,589",1,0,0,0
1281,"Mask","$4,578",0,1,0,0
1282,"Skude","$4,573",5,4,0,0
1283,"ZWuJi","$4,571",0,1,0,0
1284,"Youdang","$4,571",1,2,0,0
1285,"Coated","$4,556",0,0,1,0
1286,"ping","$4,532",0,1,0,0
1287,"Tony Top","$4,525",0,3,0,0
1288,"Tioo","$4,522",1,2,2,0
1289,"Locodoco","$4,470",0,0,0,0
1289,"Rulfchen","$4,466",3,1,0,0
1291,"JinO","$4,458",1,0,0,0
1292,"Kakan","$4,455",4,1,2,0
1293,"Topoon","$4,450",3,0,0,0
1294,"Hadow","$4,435",4,6,3,0
1295,"Azure","$4,434",0,2,0,0
1296,"Zeicro","$4,427",1,2,1,0
1297,"Flaxxish","$4,418",1,3,0,0
1298,"Zenit","$4,410",0,0,0,0
1299,"LaFleur","$4,401",6,1,0,0
1300,"Cabu","$4,396",1,0,3,0
1301,"Myw","$4,396",1,1,1,0
1302,"Guubi","$4,369",1,3,1,0
1303,"Wayne","$4,358",0,1,0,0
1304,"rjs","$4,351",1,0,0,0
