"number","name","earnings","gold","silver","bronze","s-tier"
151,"Olleh","$114,025",2,5,0,2
152,"dade","$113,967",2,2,1,2
153,"Kramer","$113,854",0,3,2,0
154,"Bin","$112,516",2,1,2,0
155,"Angel","$112,205",3,2,1,0
156,"Gaeng","$110,531",6,1,2,0
157,"Cyanide","$110,153",7,5,1,4
158,"WADID","$109,876",3,1,1,1
159,"Acorn","$109,282",2,2,0,2
160,"Haro","$109,047",3,2,1,1
161,"TusiN","$108,129",1,3,3,1
162,"Able","$106,919",3,0,0,2
163,"QiuQiu","$106,235",1,2,1,1
164,"Keria","$103,731",1,2,1,0
165,"IgNar","$103,331",1,3,3,0
166,"Kira","$102,589",6,3,1,0
167,"Wei","$102,559",3,0,0,2
167,"Cryin","$102,559",4,0,0,2
169,"Lustboy","$102,509",6,3,0,3
170,"Wuxx","$102,172",2,1,2,1
171,"Cool","$102,124",1,2,2,1
172,"PvPStejos","$101,895",6,3,0,0
173,"ZionSpartan","$101,765",2,8,2,2
174,"Tarzan","$101,099",3,4,1,1
175,"huhi","$101,016",2,4,1,2
176,"Carzzy","$100,957",6,1,1,2
177,"Shy","$100,948",1,5,2,0
178,"Kaiser","$98,621",6,2,3,2
179,"MadLife","$98,606",2,6,2,0
180,"Nemesis","$98,428",7,4,1,1
181,"Woolite","$96,340",15,8,1,0
182,"Watch","$96,297",1,3,0,1
183,"West","$95,566",2,2,1,1
184,"Athena","$95,443",3,2,1,0
185,"FORG1VEN","$95,379",1,0,1,0
186,"FZZF","$95,303",5,1,1,3
187,"Ceros","$94,940",10,7,1,1
188,"Levi","$94,834",8,6,0,0
189,"Alex Ich","$94,049",4,5,1,1
190,"Amazing","$93,969",4,4,1,1
191,"Gogoing","$93,900",1,3,1,1
191,"LoveLing","$93,900",1,3,1,1
191,"san","$93,900",1,3,1,1
194,"Nisqy","$93,890",3,8,2,2
195,"FEBIVEN","$93,852",7,5,2,2
196,"Flawless","$93,606",2,4,1,1
197,"Kiin","$90,451",1,3,2,0
198,"Genja","$89,300",4,3,1,1
198,"Darien","$89,300",4,3,1,1
200,"AmazingJ","$87,668",2,2,1,0
201,"Hai","$87,649",5,2,1,2
202,"Ucal","$87,281",1,1,1,1
203,"LemonNation","$87,249",5,2,0,2
204,"Ziv","$86,726",1,3,3,0
205,"Jesiz","$85,412",2,2,5,0
206,"Kid","$84,963",1,3,4,0
207,"Vizicsacsi","$84,394",1,10,2,0
208,"Froggen","$84,313",4,1,2,1
209,"Mowgli","$84,189",1,1,2,0
210,"Vulcan","$84,088",4,2,1,2
211,"Balls","$83,500",5,2,1,2
212,"Canna","$83,494",2,2,0,1
213,"Lehends","$83,276",3,3,1,1
214,"Moojin","$82,946",2,1,1,2
215,"U","$82,801",3,1,0,3
216,"KaKAO","$82,348",3,2,5,1
217,"Arrow","$82,200",6,3,2,2
218,"Effort","$81,052",2,1,0,2
219,"Westdoor","$80,942",1,2,2,0
220,"Kikis","$80,810",4,5,6,1
221,"Tactical","$80,740",3,4,1,0
222,"Jinjiao","$77,833",1,3,1,0
223,"Sw0rd","$77,590",3,3,1,1
224,"Xpecial","$76,040",4,7,4,1
225,"Wickd","$76,037",2,3,4,1
226,"An","$75,876",1,2,3,0
227,"y4","$75,722",2,1,0,2
228,"SaNTaS","$73,678",8,4,0,0
229,"Leyan","$72,683",3,0,0,0
230,"705","$72,451",2,0,0,1
231,"Albis","$72,272",1,2,2,0
232,"Cain","$72,097",1,1,0,1
233,"Smurf","$71,596",4,4,2,0
234,"RapidStar","$71,547",0,3,0,0
235,"Hojin","$71,222",0,2,1,0
236,"Mountain","$71,160",1,2,2,0
237,"Kobbe","$71,096",3,2,3,1
238,"Armut","$70,832",4,0,0,2
239,"NL","$70,532",3,0,0,1
240,"JunJia","$69,224",2,0,0,1
241,"Stixxay","$68,940",1,4,3,1
242,"Jactroll","$68,795",4,2,2,0
243,"GodLike","$68,511",0,1,1,0
244,"Corn","$68,440",0,1,1,0
245,"TheOddOne","$68,040",4,6,2,1
246,"LANGX","$67,726",1,2,1,0
247,"Kaiwing","$67,091",6,1,1,0
248,"Reginald","$67,040",4,5,2,1
249,"Elyoya","$66,955",3,1,0,2
250,"Reignover","$66,370",2,1,2,2
251,"BOSS","$65,975",8,1,0,0
252,"Selfmade","$65,719",5,3,0,0
253,"Larssen","$65,607",1,4,2,0
254,"Heart","$63,444",1,1,0,1
255,"Woong","$63,255",0,3,0,0
256,"Nomanz","$62,885",8,1,0,0
257,"Nuclear","$62,417",3,1,1,1
258,"AHaHaCiK","$62,394",8,1,0,0
259,"Nagne","$62,287",1,1,0,0
260,"Armao","$62,000",3,4,1,0
261,"Aodi","$61,570",2,0,0,2
262,"Naul","$61,554",4,4,1,0
263,"Maxlore","$61,473",1,1,1,0
264,"Unified","$61,368",6,1,1,0
265,"Koala","$61,295",2,2,3,1
266,"Slay","$60,702",4,1,1,0
267,"Palette","$60,489",3,3,1,0
268,"Cabochard","$60,150",2,4,1,0
269,"Road","$60,131",1,2,2,0
270,"Gumayusi","$59,851",3,2,0,0
271,"Cola","$59,693",0,1,1,0
272,"Inspired","$59,668",1,6,4,0
273,"Stark","$59,209",5,2,2,0
274,"Archie","$58,371",4,2,1,0
275,"Oner","$58,173",3,3,0,0
276,"nRated","$58,093",4,3,2,2
277,"Xerxe","$58,027",1,3,3,1
278,"iBo","$57,553",9,7,1,0
279,"Likkrit","$57,455",2,3,0,0
280,"Attila","$57,148",5,0,1,0
281,"WeiXiao","$57,090",5,0,1,1
282,"Doran","$57,052",1,2,1,0
283,"G4","$56,678",9,3,2,0
284,"XuanXuanPi","$56,562",1,0,0,1
285,"Fudge","$55,750",4,2,1,1
286,"Wh1t3zZ","$55,747",0,1,0,0
287,"Ley","$55,724",1,1,2,1
288,"brTT","$55,524",8,8,4,1
289,"Lucky","$55,327",0,1,0,0
289,"Tabe","$55,327",0,1,0,0
291,"Lloyd","$55,178",9,3,2,0
292,"PK","$54,960",2,6,4,0
293,"Slow","$54,809",6,3,1,0
294,"Pyl","$54,704",1,1,1,1
295,"Abbedagge","$54,671",3,2,2,2
296,"Jiizuke","$54,564",1,0,2,0
297,"Smlz","$54,429",2,1,4,2
298,"Contractz","$53,773",2,2,0,1
299,"Gadget","$52,774",6,4,1,0
300,"Aluka","$52,331",1,2,1,1
301,"Saken","$52,296",7,7,3,0
302,"Chawy","$52,028",0,3,2,0
303,"GODV","$51,887",1,1,0,1
304,"Cody Sun","$51,154",1,3,1,0
305,"Rockky","$50,819",6,1,2,0
306,"River","$50,642",5,2,1,0
307,"aMiracle","$50,618",2,1,0,0
308,"Snoopeh","$50,505",1,2,3,0
309,"Misaya","$50,074",4,0,1,1
310,"Bigkoro","$50,072",2,3,1,0
311,"AnDa","$50,025",5,1,0,0
312,"Nukeduck","$50,024",2,7,1,1
313,"Gilius","$49,769",2,2,4,0
314,"Denyk","$49,608",3,6,0,0
315,"Targamas","$49,212",13,4,5,0
316,"BrokenBlade","$49,035",2,5,0,2
317,"Yellowpete","$48,625",1,1,2,0
318,"Zeros","$48,254",3,2,1,0
319,"Aria","$48,138",2,0,1,0
320,"Ramune","$48,070",6,0,2,1
321,"Oddie","$48,045",7,1,3,0
322,"Piccaboo","$47,863",2,1,0,1
323,"Krepo","$47,825",1,1,1,0
324,"xMatty","$47,727",21,8,4,0
325,"delord","$47,253",9,4,2,0
326,"BaeMe","$47,167",0,0,1,0
327,"Tolkin","$46,683",8,3,2,0
328,"Kongyue","$46,642",0,2,3,0
329,"Lodik","$46,481",4,2,0,0
330,"Bugi","$46,246",2,1,3,1
331,"K1ng","$46,161",8,3,2,1
332,"Kold","$46,111",5,2,1,1
333,"MaKNooN","$46,079",1,2,0,1
334,"Uniboy","$46,042",0,2,4,0
335,"Optimus","$45,675",6,1,2,0
336,"Pyosik","$45,654",0,1,1,0
337,"baybay","$45,400",0,2,2,0
338,"Neon","$45,166",3,4,0,0
339,"Roach","$45,017",2,4,0,1
340,"Liang","$44,904",0,4,3,0
341,"Expession","$44,838",0,0,0,0
342,"Fly","$44,815",3,3,2,0
343,"Malrang","$44,741",1,1,1,1
344,"Burdol","$44,734",1,2,1,0
345,"Ggoong","$44,527",0,3,0,0
346,"Crash","$44,372",2,0,2,0
347,"CaoMei","$43,990",2,0,1,0
348,"Plugo","$43,537",7,3,1,0
349,"Trymbi","$43,099",2,2,1,0
350,"Cloud","$42,997",0,1,0,0
351,"Upset","$42,723",0,3,2,0
352,"Chres","$42,678",5,2,2,0
353,"Tabzz","$42,035",1,2,0,1
354,"kaSing","$41,966",6,7,6,1
355,"Swift","$41,589",0,2,1,0
356,"Sebekx","$41,539",9,3,0,0
357,"promisq","$41,534",3,1,0,1
358,"Jejky","$41,427",7,2,0,0
359,"Cpt Jack","$41,311",3,3,0,1
360,"SnowFlower","$41,151",4,0,1,1
360,"Xx","$41,151",0,4,1,0
362,"Closer","$41,063",3,1,0,2
363,"FBI","$40,985",3,2,2,1
364,"Nyph","$40,480",1,1,1,1
